Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference,dataset
RW_SEX_RACE,Sex,0.7922901,0.8018824958821671,1.0022698159208432,0.0003919169835101266,0.04766965631846842,0.06899584603409015,-0.010663094857810862,Adult_Race_bias1
RW_SEX_RACE,Race,0.7922901,0.8018824958821671,0.9999999999999999,-2.7755575615628914e-17,0.033946358271744415,0.033946358271744415,0.004958809508524245,Adult_Race_bias1
RW_RACE_SEX,Sex,0.78491926,0.8017187447030797,0.9999999999999999,-2.7755575615628914e-17,0.04184543272411112,0.07342951439372916,-0.01579204083480902,Adult_Race_bias1
RW_RACE_SEX,Race,0.78491926,0.8017187447030797,1.1054914878948325,0.01796362012145153,0.04872443342254518,0.04872443342254518,0.019139810915766678,Adult_Race_bias1
ORIGINAL,Sex,0.7975971,0.8044795793750611,0.36408903558179356,-0.10055171570238419,-0.1586206896551724,0.1910990830292735,-0.17485988634222294,Adult_Race_bias2
ORIGINAL,Race,0.7975971,0.8044795793750611,1.2289590671157895,0.027831977698135585,0.05976896032144652,0.05976896032144652,0.031119023042088925,Adult_Race_bias2
MMRW,Sex,0.76214343,0.7957215715711472,1.0000000000000007,8.326672684688674e-17,0.03029073698444895,0.06620282350375414,-0.017956043259652596,Adult_Race_bias2
MMRW,Race,0.76214343,0.7957215715711472,1.0000000000000002,2.7755575615628914e-17,0.02731039678553493,0.038544240641528005,-0.005616921927996538,Adult_Race_bias2
RW_SEX_RACE,Sex,0.77636915,0.7957555654133637,0.9761861187296008,-0.003010707750670541,0.03421230561189992,0.06410525438341674,-0.014946474385758413,Adult_Race_bias2
RW_SEX_RACE,Race,0.77636915,0.7957555654133637,1.0,0.0,0.04172622957153349,0.04172622957153349,0.003738205199084077,Adult_Race_bias2
RW_RACE_SEX,Sex,0.7626594,0.7970017382428336,0.9999999999999996,-5.551115123125783e-17,0.0367816091954023,0.0665590132985498,-0.014888702051573749,Adult_Race_bias2
RW_RACE_SEX,Race,0.7626594,0.7970017382428336,1.1123093971490603,0.013871604986652686,0.0454835220028591,0.0454835220028591,0.010396875029571442,Adult_Race_bias2
ORIGINAL,Sex,0.79604924,0.8044252687551191,0.6120321654943504,-0.14783116097126206,-0.032854503934810486,0.19859991833173726,-0.11572721113327387,Adult_Race_bias4
ORIGINAL,Race,0.79604924,0.8044252687551191,2.061812138797533,0.3079017746131395,0.10177616255773514,0.20447679691953452,0.15312647973863483,Adult_Race_bias4
MMRW,Sex,0.7959755,0.795467036489789,0.9999999999999993,-2.220446049250313e-16,0.07053809335013717,0.09304485027960346,-0.01125337846473315,Adult_Race_bias4
MMRW,Race,0.7959755,0.795467036489789,1.0000000000000004,1.1102230246251565e-16,-0.019506368515251227,0.038935188160260176,-0.0292207783377557,Adult_Race_bias4
RW_SEX_RACE,Sex,0.793322,0.7953017509175382,0.8627916504696661,-0.04776692844160052,0.025558548162389227,0.12730169812753278,-0.05087157498257178,Adult_Race_bias4
RW_SEX_RACE,Race,0.793322,0.7953017509175382,1.0000000000000004,1.6653345369377348e-16,-0.03410898664729767,0.03735630254626279,-0.03573264459678023,Adult_Race_bias4
RW_RACE_SEX,Sex,0.79354316,0.796169822567532,0.9999999999999997,-1.1102230246251565e-16,0.06614036408901336,0.10103358821138586,-0.01744661206118625,Adult_Race_bias4
RW_RACE_SEX,Race,0.79354316,0.796169822567532,1.1487498157610638,0.04848727567438177,-0.007713198657224751,0.011231396500906848,-0.0094722975790658,Adult_Race_bias4
ORIGINAL,Sex,0.8588487,0.501974410809495,0.9193295353737041,-0.0712645013463038,-0.004192286193404171,0.012300123001230068,-0.00824620459731712,Adult_Race_GenAlgo
ORIGINAL,Race,0.8588487,0.501974410809495,0.9263895849477295,-0.0670361800890904,-0.0017509046340609125,0.00621504039776255,-0.003982972515911731,Adult_Race_GenAlgo
MMRW,Sex,0.8587013,0.5001375260668488,1.0,0.0,0.0007107358158475741,0.001823154056517784,0.001266944936182679,Adult_Race_GenAlgo
MMRW,Race,0.8587013,0.5001375260668488,1.0,0.0,0.002472269788149961,0.006644518272425293,0.004558394030287627,Adult_Race_GenAlgo
RW_SEX_RACE,Sex,0.8587013,0.5001375260668488,1.0111825742905174,0.009585188074698436,0.0011139992573337976,0.001823154056517784,0.0014685766569257908,Adult_Race_GenAlgo
RW_SEX_RACE,Race,0.8587013,0.5001375260668488,1.0,0.0,0.002472269788149961,0.006644518272425293,0.004558394030287627,Adult_Race_GenAlgo
RW_RACE_SEX,Sex,0.8587013,0.5001375260668488,1.0,0.0,0.0007107358158475741,0.001823154056517784,0.001266944936182679,Adult_Race_GenAlgo
RW_RACE_SEX,Race,0.8587013,0.5001375260668488,1.0148288239649594,0.012616049271463092,0.002912621359223322,0.006644518272425293,0.004778569815824307,Adult_Race_GenAlgo
ORIGINAL,Sex,0.7911845,0.8160670923680702,0.3634695423643793,-0.198901432678815,-0.13310028409011232,0.24981529755433002,-0.19145779082222117,Adult_Census_orig
ORIGINAL,Race,0.7911845,0.8160670923680702,0.6037688467181627,-0.10395937026830099,-0.056920298035674,0.1099983074951269,-0.08345930276540045,Adult_Census_orig
MMRW,Sex,0.7958281,0.8094295341534843,1.0,0.0,0.06271716908269465,0.10119860097722005,-0.019240715947262704,Adult_Census_orig
MMRW,Race,0.7958281,0.8094295341534843,0.9999999999999999,-2.7755575615628914e-17,0.03709856035437431,0.03709856035437431,0.00031955902262460756,Adult_Census_orig
RW_SEX_RACE,Sex,0.79604924,0.80908537026424,1.0218649052280429,0.005380859115217462,0.06444190174913134,0.09659544924612584,-0.016076773748497253,Adult_Census_orig
