dataset,sensitive_feature,technique,acc,f1,prec,SPD,EOPD,EOD,AOD,DI,FR
Adult_Race_bias2,sex,Random,0.8889994472084024,0.4446902654867257,0.6118721461187214,0.05,0.0,0.02,-0.01,0.57,0.05804311774461028
Adult_Race_bias2,sex,xFAIR,0.8660033167495854,0.5280373831775701,0.4695290858725762,0.06,0.13,0.13,0.06,0.35,
Adult_Race_bias2,sex,FairC,0.9007186290768381,0.3789764868603043,0.8509316770186336,0.03,0.02,0.02,0.01,0.63,
Adult_Race_bias2,race,Fair-SMOTE,0.8172470978441128,0.4206098843322818,0.3525264394829612,0.08,0.11,0.11,0.01,0.38,0.13797678275290215
Adult_Race_bias2,race,Random,0.8844665561083471,0.4520188778185632,0.5701058201058201,0.03,0.1,0.1,0.04,0.31,0.05826423438363737
Adult_Race_bias2,race,xFAIR,0.8664455500276396,0.5519287833827893,0.4732824427480916,0.03,0.18,0.18,0.08,0.19,
Adult_Race_bias2,race,FairC,0.8944168048645661,0.45769449176604204,0.6326530612244898,0.02,0.04,0.04,0.01,0.22,
Adult_Race_bias3,sex,Fair-SMOTE,0.7722498618021006,0.6389765159481248,0.6207013959822949,0.17,0.09,0.09,0.0,0.46,0.20187949143173023
Adult_Race_bias3,sex,Random,0.7836373687119956,0.5944041450777202,0.6974708171206225,0.07,-0.05,0.05,-0.03,0.27,0.13875069098949697
Adult_Race_bias3,sex,xFAIR,0.8058595909342178,0.6846264367816092,0.65860400829302,0.09,0.05,0.05,0.03,0.27,
Adult_Race_bias3,sex,FairC,0.8046434494195688,0.5904982618771727,0.7763558805606338,0.07,-0.04,0.04,-0.02,0.32,
Adult_Race_bias3,race,Fair-SMOTE,0.7665008291873964,0.6339688041594455,0.6094635121626124,0.04,0.13,0.13,0.02,0.12,0.17490326147042565
Adult_Race_bias3,race,Random,0.7839690436705362,0.611839491458085,0.6799116997792495,0.01,0.07,0.07,0.02,0.02,0.1449419568822554
Adult_Race_bias3,race,xFAIR,0.8200110558319513,0.7023765996343693,0.6870529327610873,0.01,0.22,0.22,0.1,0.03,
Adult_Race_bias3,race,FairC,0.7945826423438364,0.6260064412238325,0.6778552746294682,0.01,0.09,0.09,0.02,0.03,
Adult_Race_bias4,sex,Fair-SMOTE,0.770702045328911,0.6668808223578542,0.6577946768060836,0.15,0.05,0.09,-0.02,0.38,0.17622996130458818
Adult_Race_bias4,sex,Random,0.7681592039800995,0.6161449752883031,0.703301295445048,0.05,-0.05,0.05,-0.02,0.19,0.15124378109452735
Adult_Race_bias4,sex,xFAIR,0.8030956329463792,0.7006219532694571,0.7019198383294039,0.06,0.02,0.03,0.02,0.18,
Adult_Race_bias4,sex,FairC,0.7891652846876728,0.6207993636905945,0.7618350414836506,0.04,-0.08,0.08,-0.04,0.17,
