dataset,sensitive_feature,technique,acc,f1,prec,SPD,EOPD,EOD,AOD,DI,FR
Student_bias2,age,xFAIR,0.9638418079096045,0.96,0.9576059850374065,0.23,0.02,0.02,0.0,0.45,
Student_bias2,age,FairC,0.8587570621468926,0.84472049689441,0.8374384236453202,0.19,0.0,0.03,-0.02,0.37,
Student_bias3,Gender,Fair-SMOTE,0.8610169491525423,0.9036805011746281,0.8729198184568835,0.14,-0.07,0.07,-0.01,0.22,0.02711864406779661
Student_bias3,Gender,Random,0.8610169491525423,0.9047250193648335,0.8651851851851852,0.13,-0.06,0.06,-0.02,0.19,0.006779661016949152
Student_bias3,Gender,xFAIR,0.9683615819209039,0.9783950617283951,0.9753846153846154,0.06,-0.02,0.02,0.0,0.08,
Student_bias3,Gender,FairC,0.8734463276836159,0.9160419790104948,0.8880813953488372,0.07,-0.06,0.06,-0.03,0.1,
Student_bias3,age,Fair-SMOTE,0.864406779661017,0.9058084772370487,0.8768996960486323,0.22,0.07,0.1,-0.02,0.28,0.006779661016949152
Student_bias3,age,Random,0.8621468926553673,0.9057187017001546,0.8643067846607669,0.2,0.04,0.1,-0.03,0.25,0.003389830508474576
Student_bias3,age,xFAIR,0.9649717514124294,0.975987606506584,0.9767441860465116,0.23,0.03,0.04,0.04,0.3,
Student_bias3,age,FairC,0.8768361581920904,0.918106686701728,0.891970802919708,0.23,0.04,0.13,-0.04,0.28,
Student_bias4,Gender,Fair-SMOTE,0.8734463276836159,0.917037037037037,0.8855507868383404,0.05,-0.06,0.06,-0.03,0.07,0.03728813559322034
Student_bias4,Gender,Random,0.8689265536723164,0.9150805270863837,0.8741258741258742,0.07,-0.07,0.07,-0.02,0.09,0.005649717514124294
Student_bias4,Gender,xFAIR,0.9672316384180791,0.9785977859778597,0.973568281938326,0.01,-0.03,0.04,0.01,0.01,
Student_bias4,Gender,FairC,0.888135593220339,0.9292351679771265,0.896551724137931,0.02,-0.02,0.03,-0.02,0.02,
Student_bias4,age,Fair-SMOTE,0.8700564971751412,0.9146250927988122,0.8850574712643678,0.16,0.02,0.06,-0.02,0.19,0.013559322033898305
Student_bias4,age,Random,0.8677966101694915,0.914033798677443,0.8760563380281691,0.17,0.03,0.11,-0.04,0.2,0.011299435028248588
Student_bias4,age,xFAIR,0.9694915254237289,0.9800148038490007,0.9778434268833087,0.18,0.01,0.07,0.04,0.22,
Student_bias4,age,FairC,0.8824858757062147,0.9257142857142857,0.8925619834710744,0.16,0.01,0.11,-0.05,0.19,
Student_Age_bias1,Gender,Fair-SMOTE,0.8497175141242937,0.848,0.8082788671023965,0.14,-0.09,0.09,-0.04,0.33,0.015819209039548022
Student_Age_bias1,Gender,Random,0.8497175141242937,0.8469505178365938,0.8123620309050773,0.16,-0.16,0.16,-0.08,0.39,0.010169491525423728
Student_Age_bias1,Gender,xFAIR,0.9627118644067797,0.9639344262295082,0.9566160520607375,0.09,-0.02,0.02,-0.02,0.19,
Student_Age_bias1,Gender,FairC,0.8463276836158192,0.8540772532188842,0.8326359832635983,0.1,-0.12,0.12,-0.08,0.2,
Student_Age_bias1,age,Fair-SMOTE,0.8542372881355932,0.8529076396807298,0.8112798264642083,0.09,0.04,0.04,0.02,0.16,0.02711864406779661
Student_Age_bias1,age,Random,0.8508474576271187,0.8489702517162472,0.8100436681222707,0.13,0.07,0.07,0.0,0.24,0.006779661016949152
Student_Age_bias1,age,xFAIR,0.9672316384180791,0.968236582694414,0.9629629629629629,0.11,0.0,0.01,0.0,0.21,
Student_Age_bias1,age,FairC,0.848587570621469,0.8540305010893247,0.8448275862068966,0.09,-0.03,0.03,-0.03,0.16,
Student_Age_bias2,Gender,Fair-SMOTE,0.8553672316384181,0.8106508875739645,0.7611111111111111,0.11,-0.13,0.13,-0.06,0.32,0.01694915254237288
Student_Age_bias2,Gender,Random,0.847457627118644,0.7900466562986003,0.7767584097859327,0.12,-0.18,0.18,-0.09,0.41,0.010169491525423728
Student_Age_bias2,Gender,xFAIR,0.9717514124293786,0.9641319942611191,0.9572649572649573,0.07,-0.03,0.03,-0.02,0.2,
Student_Age_bias2,Gender,FairC,0.8677966101694915,0.8306801736613604,0.8318840579710145,0.09,-0.16,0.16,-0.1,0.26,
