Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference,dataset
RW_AGE_SEX,Age,0.6933333,0.6952499555239281,1.0228478732032695,0.011897812589076628,-0.1396993810786914,0.1396993810786914,-0.11743033570063602,German_Age_bias1
ORIGINAL,Sex,0.7033333,0.686272155242807,0.9822064056939502,-0.00724637681159418,0.03372549019607851,0.03372549019607851,0.0218639954106174,German_Age_bias2
ORIGINAL,Age,0.7033333,0.686272155242807,1.5896520963425513,0.21474983755685512,0.18362068965517242,0.18362068965517242,0.12069233240522595,German_Age_bias2
MMRW,Sex,0.66333336,0.6843988664200971,1.0000000000000002,5.551115123125783e-17,0.04745098039215678,0.04745098039215678,0.03153994380948172,German_Age_bias2
MMRW,Age,0.66333336,0.6843988664200971,0.9999999999999999,-5.551115123125783e-17,-0.05086206896551726,0.18902691511387165,-0.11994449203969446,German_Age_bias2
RW_SEX_AGE,Sex,0.67333335,0.690282914645276,0.8848427383199127,-0.04836761679239354,0.018039215686274424,0.04888722180545141,-0.015424003059588492,German_Age_bias2
RW_SEX_AGE,Age,0.67333335,0.690282914645276,0.9999999999999998,-1.1102230246251565e-16,-0.03836206896551719,0.20372670807453414,-0.12104438852002566,German_Age_bias2
RW_AGE_SEX,Sex,0.66,0.6817810653729766,0.9999999999999999,-5.551115123125783e-17,0.04745098039215678,0.04745098039215678,0.039604459938514,German_Age_bias2
RW_AGE_SEX,Age,0.66,0.6817810653729766,1.0431892468426054,0.017349189774301776,-0.05086206896551726,0.15569358178053833,-0.10327782537302779,German_Age_bias2
ORIGINAL,Sex,0.7366667,0.6433691756272402,0.965250718620249,-0.025432445067788745,-0.022817460317460347,0.08787878787878789,-0.05534812409812412,German_Age_bias3
ORIGINAL,Age,0.7366667,0.6433691756272402,0.9682426404995539,-0.023131903833658263,-0.06216216216216219,0.07426376440460947,-0.06821296328338583,German_Age_bias3
MMRW,Sex,0.74333334,0.6393174380551659,0.9999999999999999,-1.1102230246251565e-16,0.010912698412698374,0.010912698412698374,0.006971500721500712,German_Age_bias3
MMRW,Age,0.74333334,0.6393174380551659,1.0,0.0,0.007154213036566048,0.007154213036566048,0.004857516249396954,German_Age_bias3
RW_SEX_AGE,Sex,0.74,0.6457846345644382,1.004216036458549,0.003048423086797536,-0.006944444444444531,0.040909090909090895,-0.023926767676767713,German_Age_bias3
RW_SEX_AGE,Age,0.74,0.6457846345644382,0.9999999999999999,-1.1102230246251565e-16,-0.06804451510333864,0.07426376440460947,-0.07115413975397405,German_Age_bias3
RW_AGE_SEX,Sex,0.74,0.6428237494156148,1.0,0.0,0.008928571428571397,0.010606060606060619,-0.000838744588744611,German_Age_bias3
