Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference,dataset
MMRW,Race,0.7932,0.7597775344975578,1.0000000000000002,2.7755575615628914e-17,0.06910697853581294,0.06910697853581294,0.03086379988995798,Adult_Census_2015
RW_SEX_RACE,Sex,0.7873333,0.7592955040191857,1.0062178712826408,0.0011082773904610987,0.06381534689133306,0.06381534689133306,0.036221220189168055,Adult_Census_2015
RW_SEX_RACE,Race,0.7873333,0.7592955040191857,1.0000000000000002,2.7755575615628914e-17,0.07690406385756166,0.07690406385756166,0.033135238960166,Adult_Census_2015
RW_RACE_SEX,Sex,0.79406667,0.7604515106981125,1.0000000000000002,5.551115123125783e-17,0.06575590027744938,0.06575590027744938,0.03586149552484817,Adult_Census_2015
RW_RACE_SEX,Race,0.79406667,0.7604515106981125,1.0455813587196128,0.008072108095940417,0.08007768195339082,0.08007768195339082,0.03886873128431852,Adult_Census_2015
ORIGINAL,Sex,0.7923333,0.7862300877493255,0.40985070515512967,-0.13407907242319278,-0.18925960735171266,0.18925960735171266,-0.18603314904822776,Adult_Census_2010
ORIGINAL,Race,0.7923333,0.7862300877493255,0.787496956857663,-0.03562754502170157,-0.040997455470737965,0.051486721602071905,-0.046242088536404935,Adult_Census_2010
MMRW,Sex,0.77973336,0.7734865025502882,1.0,0.0,0.05566868560289617,0.05566868560289617,0.023391889690222448,Adult_Census_2010
MMRW,Race,0.77973336,0.7734865025502882,0.9999999999999994,-8.326672684688674e-17,0.05670483460559794,0.05670483460559794,0.025015548058898426,Adult_Census_2010
RW_SEX_RACE,Sex,0.77926666,0.7727010322769562,1.0091876808644873,0.001469759396841075,0.05740479671400722,0.05740479671400722,0.02535371318484672,Adult_Census_2010
RW_SEX_RACE,Race,0.77926666,0.7727010322769562,0.9999999999999998,-2.7755575615628914e-17,0.05516030534351146,0.05516030534351146,0.02527453213506227,Adult_Census_2010
RW_RACE_SEX,Sex,0.7795333,0.7733675210320841,1.0,0.0,0.05775114870509612,0.05775114870509612,0.024496266763300967,Adult_Census_2010
RW_RACE_SEX,Race,0.7795333,0.7733675210320841,1.0885525825388616,0.013986346506252995,0.07497201017811705,0.07497201017811705,0.04285643270007089,Adult_Census_2010
ORIGINAL,Sex,0.7772,0.7916775354242451,0.3900574105819508,-0.1403796537028419,-0.19379509379509385,0.20852030455831877,-0.2011576991767063,Adult_Census_2005
ORIGINAL,Race,0.7772,0.7916775354242451,0.7350358019518523,-0.04498797606752948,-0.1323279736342755,0.1323279736342755,-0.09296894253352483,Adult_Census_2005
MMRW,Sex,0.79546666,0.7739053382594495,0.9999999999999998,-2.7755575615628914e-17,0.03536956870290209,0.03536956870290209,0.018491516957400256,Adult_Census_2005
MMRW,Race,0.79546666,0.7739053382594495,1.0000000000000004,5.551115123125783e-17,-0.03615300109857189,0.03615300109857189,-0.015253446136304374,Adult_Census_2005
RW_SEX_RACE,Sex,0.79553336,0.7741126351085375,1.01130632183028,0.001820252076814327,0.04125380792047462,0.04125380792047462,0.022548222321553887,Adult_Census_2005
RW_SEX_RACE,Race,0.79553336,0.7741126351085375,1.0,0.0,-0.03662738440027968,0.03662738440027968,-0.01575963850590391,Adult_Census_2005
RW_RACE_SEX,Sex,0.7966667,0.7747878813748228,0.9999999999999997,-5.551115123125783e-17,0.03695687029020367,0.03695687029020367,0.01879087990817925,Adult_Census_2005
RW_RACE_SEX,Race,0.7966667,0.7747878813748228,1.0853987619959995,0.013618287337193197,-0.017808099470688066,0.02450928204203942,0.0033505912856756775,Adult_Census_2005
ORIGINAL,Sex,0.79653335,0.8018954660215936,0.36938387652756793,-0.1095959248042238,-0.22562862669245642,0.22562862669245642,-0.20022223036261635,Adult_Census_2000
ORIGINAL,Race,0.79653335,0.8018954660215936,0.7311433034514636,-0.033729510156568276,-0.09364709088608492,0.09364709088608492,-0.07915546721842714,Adult_Census_2000
MMRW,Sex,0.7512,0.7821943761920671,1.0000000000000002,1.3877787807814457e-17,0.009332688588007731,0.027023883986377506,0.01817828628719262,Adult_Census_2000
MMRW,Race,0.7512,0.7821943761920671,1.0000000000000004,5.551115123125783e-17,-0.0047660607161743584,0.013951520930319511,-0.009358790823246935,Adult_Census_2000
RW_SEX_RACE,Sex,0.751,0.7818393463560279,1.010405528955235,0.0012506927506853033,0.010090264345583466,0.02883101070977262,0.019460637527678043,Adult_Census_2000
